Rk,Player,Tm,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,Signed Using,Guaranteed
398,Semi Ojeleye\ojelese01,BOS,1618520,"$1,752,950 ",,,,,Cap space,"$1,618,520 "
399,Chris Boucher\bouchch01,TOR,1588231,,,,,,Minimum Salary,"$1,588,231 "
400,Malcolm Miller\millema01,TOR,1588231,,,,,,Minimum Salary,"$1,588,231 "
401,Monte Morris\morrimo01,DEN,1588231,"$1,663,861 ",,,,,Minimum Salary,"$1,588,231 "
402,Mitchell Robinson\robinmi01,NYK,1559712,"$1,663,861 ","$1,802,057 ",,,,MLE,"$1,559,712 "
403,Vlatko ?an?ar\cancavl01,DEN,1517981,"$898,310 ","$1,782,621 ",,,,MLE,"$2,416,291 "
404,Isaiah Roby\robyis01,OKC,1500000,"$1,517,981 ","$1,782,621 ","$1,930,681 ",,,MLE,"$3,017,981 "
405,Nigel Williams-Goss\willini01,UTA,1500000,"$1,517,981 ","$1,782,621 ",,,,Cap Space,"$1,500,000 "
406,J.R. Smith\smithjr01,CLE,1456667,"$1,456,667 ","$1,456,666 ",,,,,"$4,370,000 "
407,Shake Milton\miltosh01,PHI,1445697,"$1,701,593 ","$1,846,738 ","$1,997,718 ",,,Cap Space,"$4,994,028 "
408,Thanasis Antetokounmpo\antetth01,MIL,1445697,"$1,701,593 ",,,,,Minimum Salary,"$3,147,290 "
409,Amile Jefferson\jeffeam01,ORL,1445697,,,,,,,"$1,445,697 "
410,Theo Pinson\pinsoth01,NYK,1445697,"$1,701,593 ",,,,,Minimum Salary,"$1,445,697 "
411,Brad Wanamaker\wanambr01,BOS,1445697,,,,,,Minimum Salary,"$1,445,697 "
412,Derrick Walton\waltode01,ATL,1445697,,,,,,,"$1,445,697 "
413,Ryan Broekhoff\broekry01,DAL,1443842,,,,,,,"$1,443,842 "
414,Gary Trent\trentga02,POR,1416852,"$1,663,861 ",,,,,MLE,"$3,080,713 "
