,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
511,Grant Williams\willigr01,PF,21,BOS,69,5,1043,3,7.3,0.412,0.8,3.3,0.25,2.2,4,0.548,1.3,1.9,0.722,2,4.1,6.1,2.3,1,1.2,1.7,5.6,8.2
512,Johnathan Williams\willijo04,C,24,WAS,15,6,180,3.8,6.8,0.559,0,0.4,0,3.8,6.4,0.594,1.4,2.6,0.538,4.8,8,12.8,1.6,0.2,1.6,1,3.2,9
513,Kenrich Williams\willike04,PF,25,NOP,39,18,832,2.2,6.4,0.347,1.1,4.2,0.258,1.1,2.2,0.52,0.4,1.1,0.346,2.2,5.8,8,2.5,1.2,0.9,1,3.8,5.9
514,Lou Williams\willilo02,SG,33,LAC,65,8,1864,7.6,18.1,0.418,2.1,6.1,0.352,5.4,12,0.451,5.6,6.5,0.861,0.6,3.3,3.9,7,0.8,0.2,3.5,1.5,22.9
515,Marvin Williams\willima02,PF,33,TOT,58,1,1129,3.8,8.5,0.446,1.8,5,0.359,2,3.5,0.568,1.6,1.8,0.86,1,4.9,5.8,1.9,1.1,1,1.1,3.3,10.9
515,Marvin Williams\willima02,PF,33,CHO,41,1,808,4.2,9.4,0.448,2,5.2,0.376,2.2,4.1,0.538,1.9,2.2,0.86,0.7,4.2,4.9,1.8,1.2,1,1.1,3.2,12.3
515,Marvin Williams\willima02,PF,33,MIL,17,0,321,2.8,6.4,0.439,1.3,4.4,0.308,1.5,2,0.722,0.7,0.8,0.857,1.7,6.6,8.3,2.1,1.1,0.9,0.9,3.6,7.6
516,Robert Williams\williro04,C,22,BOS,29,1,388,5.9,8.2,0.727,0,0,,5.9,8.2,0.727,2,3.2,0.647,3.7,8.2,11.9,2.5,2,3.2,1.9,4.7,13.9
517,Nigel Williams-Goss\willini01,PG,25,UTA,10,0,50,3.6,11.5,0.313,1.4,5,0.286,2.2,6.5,0.333,1.4,1.4,1,1.4,2.9,4.3,4.3,2.2,0.7,2.2,4.3,10.1
518,Zion Williamson\willizi01,PF,19,NOP,24,24,668,11.3,19.4,0.583,0.3,0.8,0.429,11,18.6,0.59,6.1,9.6,0.64,3.4,4.6,8.1,2.7,0.9,0.5,3.2,2.3,29.1
519,D.J. Wilson\wilsodj01,PF,23,MIL,37,1,363,5.2,13.1,0.394,1.8,7.2,0.247,3.4,5.9,0.576,1.1,1.8,0.611,1.2,7.9,9.1,2.5,0.3,0.5,1.9,3.3,13.2
520,Justise Winslow\winslju01,SF,23,MIA,11,5,352,5.1,13.2,0.388,0.6,2.8,0.222,4.5,10.4,0.431,1.8,2.8,0.667,1.6,5.8,7.5,4.5,0.7,0.5,2.5,3.9,12.7
521,Christian Wood\woodch01,PF,24,DET,62,12,1325,7.8,13.8,0.567,1.5,3.8,0.386,6.4,10,0.636,4.9,6.6,0.744,2.8,7.8,10.6,1.6,0.9,1.5,2.3,2.7,22
522,Delon Wright\wrighde01,SG,27,DAL,73,5,1570,4.4,9.4,0.462,1.1,2.9,0.37,3.3,6.5,0.504,1.8,2.3,0.77,1.6,4.8,6.4,5.6,1.9,0.5,1.7,2.1,11.6
523,Justin Wright-Foreman\wrighju02,PG,22,UTA,4,0,45,5.6,16,0.35,1.6,8,0.2,4,8,0.5,2.4,3.2,0.75,0,4,4,5.6,1.6,0,2.4,4,15.2
524,Thaddeus Young\youngth01,PF,31,CHI,64,16,1591,6.1,13.6,0.448,1.8,5,0.356,4.3,8.6,0.501,1,1.6,0.583,2.1,5,7.1,2.6,2.1,0.5,2.3,3,14.9
525,Trae Young\youngtr01,PG,21,ATL,60,60,2120,9.3,21.2,0.437,3.5,9.6,0.361,5.8,11.6,0.501,8.2,9.5,0.86,0.5,3.8,4.3,9.5,1.1,0.1,4.9,1.8,30.2
526,Cody Zeller\zelleco01,C,27,CHO,58,39,1341,6.7,12.9,0.524,0.5,2,0.24,6.3,10.8,0.577,3.3,4.8,0.682,4.3,6.7,11,2.4,1.1,0.7,2,3.8,17.2
527,Tyler Zeller\zellety01,C,30,SAS,2,0,4,9,36,0.25,0,0,,9,36,0.25,0,0,,27,9,36,0,0,0,0,0,18
528,Ante Žižić\zizican01,C,23,CLE,22,0,221,6.7,11.7,0.569,0,0,,6.7,11.7,0.569,2.3,3.1,0.737,2.9,7.8,10.8,1,1.1,0.8,1.6,4.4,15.6
529,Ivica Zubac\zubaciv01,C,22,LAC,72,70,1326,6.4,10.5,0.613,0,0.1,0,6.4,10.4,0.616,3.4,4.5,0.747,5.3,9.4,14.7,2.2,0.4,1.8,1.7,4.6,16.2
