,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
457,Zhaire Smith\smithzh01,SG,20,PHI,7,0,32,3.4,12.4,0.273,0,3.4,0,3.4,9,0.375,2.3,4.5,0.5,0,2.3,2.3,2.3,3.4,0,2.3,4.5,9
458,Tony Snell\snellto01,SF,28,DET,59,57,1641,3.7,8.4,0.445,2.2,5.6,0.402,1.5,2.8,0.531,0.7,0.7,1,0.2,2.2,2.4,2.8,0.7,0.3,0.7,2.2,10.4
459,Omari Spellman\spellom01,PF,22,GSW,49,3,886,5.2,12,0.431,1.7,4.5,0.391,3.4,7.5,0.454,3,3.7,0.793,3.1,5.8,8.9,1.9,1.3,1,2.2,2.6,15
460,Max Strus\strusma01,SG,23,CHI,2,0,6,12,18,0.667,0,6,0,12,12,1,6,6,1,6,0,6,0,0,0,0,6,30
461,Edmond Sumner\sumneed01,PG,24,IND,31,3,447,4.9,11.4,0.43,1.1,4.3,0.264,3.8,7.2,0.528,1.3,2.3,0.552,0.9,2.8,3.7,4.4,1.2,0.7,1.8,3.5,12.2
462,Caleb Swanigan\swanica01,PF,22,TOT,27,1,288,3.5,5.9,0.596,0,0.2,0,3.5,5.6,0.622,1.1,2.1,0.529,3.4,9.1,12.5,3.9,0.4,0.9,4.6,7.7,8.1
462,Caleb Swanigan\swanica01,PF,22,SAC,7,0,23,3.1,6.3,0.5,0,0,,3.1,6.3,0.5,1.6,3.1,0.5,3.1,7.8,11,3.1,1.6,3.1,9.4,12.5,7.8
462,Caleb Swanigan\swanica01,PF,22,POR,20,1,265,3.5,5.8,0.605,0,0.3,0,3.5,5.6,0.634,1.1,2,0.533,3.4,9.2,12.6,3.9,0.3,0.7,4.2,7.3,8.2
463,Jayson Tatum\tatumja01,PF,21,BOS,66,66,2265,8.8,19.5,0.45,3,7.5,0.403,5.8,12,0.48,4,5,0.812,1,6.3,7.3,3.2,1.5,0.9,2.5,2.2,24.6
464,Jeff Teague\teaguje01,PG,31,TOT,59,17,1464,5.2,12,0.436,1.1,2.9,0.368,4.2,9.1,0.457,4.2,4.8,0.873,0.7,2.8,3.5,7.6,1.1,0.5,2.9,2.6,15.8
464,Jeff Teague\teaguje01,PG,31,MIN,34,13,945,5.5,12.3,0.448,1.3,3.3,0.379,4.3,9,0.473,4.8,5.5,0.868,0.6,2.8,3.4,7.9,1,0.5,2.9,2.7,17.1
464,Jeff Teague\teaguje01,PG,31,ATL,25,4,519,4.7,11.4,0.412,0.7,2.1,0.333,4,9.4,0.43,3.3,3.7,0.887,0.8,2.9,3.7,6.9,1.3,0.4,2.8,2.5,13.4
465,Garrett Temple\templga01,SG,33,BRK,62,35,1730,4.6,12.2,0.378,2.6,8,0.329,2,4.2,0.473,1.5,1.8,0.805,0.6,3.9,4.5,3.2,1,0.6,1.3,2.2,13.3
466,Daniel Theis\theisda01,C,27,BOS,65,64,1566,5.5,9.8,0.566,0.7,2.2,0.333,4.8,7.6,0.633,2,2.6,0.763,3.2,6.6,9.8,2.6,0.9,1.9,1.2,5,13.8
